CampaignID,AdvertiserName,CampaignName,CampaignStartDate,CampaignEndDate,TargetingCriteria,AdSlotSize,Budget,RemainingBudget
29,Advertiser_4,Campaign_29,2024-10-07,2024-11-19,"Age 18-49, Gaming, India",728x90,61280.79,61280.79
30,Advertiser_4,Campaign_30,2024-10-12,2024-11-06,"Age 28-33, Travel, USA",300x250,185308.88,185308.88
31,Advertiser_4,Campaign_31,2024-10-24,2024-11-08,"Age 23-42, Health, Germany",300x250,53771.76,53771.76
32,Advertiser_4,Campaign_32,2024-10-27,2024-11-18,"Age 26-50, Travel, Germany",160x600,134246.1,134246.1
33,Advertiser_5,Campaign_33,2024-10-17,2024-12-04,"Age 24-34, Health, India",728x90,53797.96,53797.96
34,Advertiser_5,Campaign_34,2024-10-19,2024-11-01,"Age 21-40, Education, Germany",300x250,208921.68,208921.68
35,Advertiser_5,Campaign_35,2024-10-02,2024-11-26,"Age 30-43, Technology, India",728x90,354525.31,354525.31
36,Advertiser_5,Campaign_36,2024-10-06,2024-11-17,"Age 21-44, Health, India",160x600,478929.22,478929.22
37,Advertiser_5,Campaign_37,2024-10-10,2024-11-03,"Age 29-48, Gaming, UK",300x250,442058.8,442058.8
38,Advertiser_5,Campaign_38,2024-10-17,2024-12-05,"Age 27-48, Finance, UK",300x250,371649.32,371649.32
39,Advertiser_5,Campaign_39,2024-10-19,2024-12-17,"Age 29-34, Health, UK",300x250,211132.14,211132.14
40,Advertiser_5,Campaign_40,2024-10-15,2024-12-12,"Age 23-34, Technology, Australia",728x90,469288.26,469288.26
41,Advertiser_5,Campaign_41,2024-10-21,2024-11-20,"Age 22-47, Health, India",728x90,131837.17,131837.17
42,Advertiser_6,Campaign_42,2024-10-12,2024-10-26,"Age 26-31, Gaming, UK",300x250,262362.02,262362.02
43,Advertiser_6,Campaign_43,2024-10-24,2024-11-08,"Age 30-40, Fashion, Australia",300x250,115852.0,115852.0
44,Advertiser_6,Campaign_44,2024-10-25,2024-11-08,"Age 24-47, Health, India",160x600,395400.14,395400.14
45,Advertiser_6,Campaign_45,2024-10-28,2024-11-23,"Age 27-44, Education, USA",300x250,383526.93,383526.93
46,Advertiser_6,Campaign_46,2024-10-23,2024-11-24,"Age 24-32, Sports, Germany",160x600,235106.51,235106.51
47,Advertiser_6,Campaign_47,2024-10-12,2024-11-20,"Age 30-41, Finance, India",728x90,176261.06,176261.06
48,Advertiser_6,Campaign_48,2024-10-25,2024-12-16,"Age 26-46, Sports, UK",728x90,327634.23,327634.23
49,Advertiser_6,Campaign_49,2024-10-07,2024-11-11,"Age 21-33, Travel, Australia",160x600,493686.74,493686.74
50,Advertiser_6,Campaign_50,2024-10-20,2024-11-10,"Age 23-48, Travel, USA",300x250,169631.73,169631.73
51,Advertiser_6,Campaign_51,2024-10-27,2024-11-07,"Age 26-47, Gaming, Germany",728x90,289281.66,289281.66
52,Advertiser_6,Campaign_52,2024-10-20,2024-12-10,"Age 22-37, Sports, Germany",728x90,13886.73,13886.73
53,Advertiser_6,Campaign_53,2024-10-16,2024-12-14,"Age 22-31, Technology, India",160x600,69324.34,69324.34
54,Advertiser_6,Campaign_54,2024-10-15,2024-10-25,"Age 23-42, Health, Germany",160x600,33239.17,33239.17
55,Advertiser_7,Campaign_55,2024-10-02,2024-11-05,"Age 19-32, Fashion, UK",300x250,159398.11,159398.11
56,Advertiser_7,Campaign_56,2024-10-04,2024-11-29,"Age 25-34, Fashion, UK",160x600,38105.04,38105.04
57,Advertiser_7,Campaign_57,2024-10-12,2024-11-03,"Age 24-31, Technology, India",300x250,267755.69,267755.69
58,Advertiser_7,Campaign_58,2024-10-01,2024-10-23,"Age 25-46, Sports, Germany",160x600,214226.33,214226.33
59,Advertiser_7,Campaign_59,2024-10-11,2024-11-25,"Age 30-37, Travel, India",160x600,17303.98,17303.98
60,Advertiser_7,Campaign_60,2024-10-23,2024-12-22,"Age 29-41, Health, Germany",160x600,386499.62,386499.62
61,Advertiser_8,Campaign_61,2024-10-30,2024-12-28,"Age 22-35, Technology, UK",728x90,287644.49,287644.49
62,Advertiser_8,Campaign_62,2024-10-08,2024-10-29,"Age 25-36, Finance, Germany",300x250,135196.87,135196.87
63,Advertiser_8,Campaign_63,2024-10-02,2024-11-18,"Age 25-40, Finance, Australia",160x600,261602.92,261602.92
64,Advertiser_8,Campaign_64,2024-10-14,2024-12-03,"Age 27-46, Education, Germany",728x90,323955.52,323955.52
65,Advertiser_8,Campaign_65,2024-10-17,2024-11-17,"Age 21-35, Technology, UK",160x600,90784.78,90784.78
66,Advertiser_8,Campaign_66,2024-10-11,2024-11-11,"Age 18-50, Fashion, USA",728x90,293859.51,293859.51
67,Advertiser_8,Campaign_67,2024-10-13,2024-11-04,"Age 28-49, Sports, Germany",300x250,106814.23,106814.23
68,Advertiser_8,Campaign_68,2024-10-03,2024-10-26,"Age 28-36, Travel, India",300x250,413715.61,413715.61
69,Advertiser_8,Campaign_69,2024-10-02,2024-11-25,"Age 20-34, Technology, India",300x250,145588.07,145588.07
70,Advertiser_9,Campaign_70,2024-10-03,2024-12-02,"Age 23-43, Gaming, USA",728x90,228834.74,228834.74
71,Advertiser_9,Campaign_71,2024-10-28,2024-12-14,"Age 21-38, Health, India",300x250,38998.15,38998.15
72,Advertiser_9,Campaign_72,2024-10-05,2024-11-03,"Age 26-35, Technology, Australia",160x600,276505.18,276505.18
73,Advertiser_9,Campaign_73,2024-10-05,2024-11-12,"Age 30-40, Travel, USA",300x250,371437.98,371437.98
74,Advertiser_9,Campaign_74,2024-10-17,2024-11-25,"Age 27-46, Technology, Germany",300x250,50510.6,50510.6
75,Advertiser_9,Campaign_75,2024-10-20,2024-12-03,"Age 26-45, Fashion, Germany",160x600,356292.49,356292.49
76,Advertiser_9,Campaign_76,2024-10-11,2024-10-23,"Age 24-43, Health, Germany",160x600,259517.44,259517.44
77,Advertiser_9,Campaign_77,2024-10-15,2024-11-26,"Age 18-36, Health, UK",160x600,120401.36,120401.36
78,Advertiser_9,Campaign_78,2024-10-01,2024-11-16,"Age 28-39, Sports, Germany",728x90,15905.71,15905.71
79,Advertiser_9,Campaign_79,2024-10-14,2024-11-11,"Age 27-31, Technology, Australia",300x250,310798.06,310798.06
80,Advertiser_9,Campaign_80,2024-10-16,2024-12-03,"Age 24-32, Gaming, India",160x600,348553.25,348553.25
81,Advertiser_9,Campaign_81,2024-10-27,2024-11-08,"Age 26-43, Gaming, India",300x250,363580.65,363580.65
82,Advertiser_9,Campaign_82,2024-10-26,2024-11-25,"Age 22-42, Gaming, Australia",300x250,368717.9,368717.9
83,Advertiser_10,Campaign_83,2024-10-21,2024-11-09,"Age 18-45, Travel, Australia",160x600,102148.0,102148.0
84,Advertiser_10,Campaign_84,2024-10-25,2024-12-21,"Age 27-44, Finance, UK",160x600,122524.93,122524.93
85,Advertiser_10,Campaign_85,2024-10-28,2024-12-23,"Age 21-41, Fashion, India",300x250,448136.59,448136.59
86,Advertiser_10,Campaign_86,2024-10-07,2024-11-25,"Age 29-36, Travel, USA",300x250,412523.99,412523.99
87,Advertiser_10,Campaign_87,2024-10-17,2024-12-13,"Age 22-48, Health, UK",300x250,92307.14,92307.14
88,Advertiser_10,Campaign_88,2024-10-01,2024-10-24,"Age 23-41, Travel, Germany",300x250,158193.96,158193.96
89,Advertiser_10,Campaign_89,2024-10-20,2024-11-10,"Age 27-47, Fashion, Germany",728x90,395312.78,395312.78
90,Advertiser_10,Campaign_90,2024-10-03,2024-11-30,"Age 27-46, Gaming, USA",728x90,322429.03,322429.03
91,Advertiser_10,Campaign_91,2024-10-03,2024-11-25,"Age 27-50, Gaming, Germany",300x250,468576.29,468576.29
92,Advertiser_10,Campaign_92,2024-10-27,2024-12-23,"Age 21-38, Fashion, India",300x250,24276.06,24276.06
93,Advertiser_10,Campaign_93,2024-10-12,2024-11-26,"Age 20-41, Finance, USA",728x90,434738.07,434738.07
94,Advertiser_11,Campaign_94,2024-10-04,2024-10-28,"Age 20-48, Education, Australia",160x600,255074.2,255074.2
95,Advertiser_11,Campaign_95,2024-10-14,2024-10-27,"Age 20-46, Finance, India",728x90,299096.92,299096.92
96,Advertiser_11,Campaign_96,2024-10-29,2024-11-19,"Age 25-44, Gaming, Germany",728x90,243107.94,243107.94
97,Advertiser_11,Campaign_97,2024-10-19,2024-12-12,"Age 27-36, Education, UK",300x250,255525.86,255525.86
98,Advertiser_11,Campaign_98,2024-10-08,2024-11-23,"Age 30-44, Education, Germany",300x250,476279.56,476279.56
99,Advertiser_11,Campaign_99,2024-10-21,2024-11-20,"Age 19-47, Travel, India",160x600,488025.5,488025.5
100,Advertiser_11,Campaign_100,2024-10-05,2024-11-04,"Age 28-50, Health, UK",728x90,102831.73,102831.73
101,Advertiser_11,Campaign_101,2024-10-12,2024-11-15,"Age 21-36, Sports, USA",300x250,284319.98,284319.98
102,Advertiser_11,Campaign_102,2024-10-18,2024-12-05,"Age 27-50, Health, India",300x250,451064.76,451064.76
103,Advertiser_11,Campaign_103,2024-10-28,2024-12-05,"Age 22-40, Health, UK",160x600,147273.12,147273.12
104,Advertiser_11,Campaign_104,2024-10-31,2024-11-26,"Age 23-34, Travel, USA",300x250,471668.22,471668.22
105,Advertiser_11,Campaign_105,2024-10-21,2024-12-10,"Age 19-40, Sports, UK",300x250,427493.34,427493.34
106,Advertiser_11,Campaign_106,2024-10-03,2024-11-03,"Age 22-45, Technology, USA",728x90,492709.54,492709.54
107,Advertiser_11,Campaign_107,2024-10-11,2024-11-01,"Age 20-48, Health, Germany",160x600,487390.35,487390.35
108,Advertiser_11,Campaign_108,2024-10-11,2024-11-18,"Age 29-38, Gaming, India",728x90,495644.54,495644.54
109,Advertiser_12,Campaign_109,2024-10-18,2024-10-31,"Age 30-41, Finance, Germany",728x90,484822.07,484822.07
110,Advertiser_12,Campaign_110,2024-10-17,2024-11-07,"Age 28-42, Gaming, Australia",300x250,495385.65,495385.65
111,Advertiser_12,Campaign_111,2024-10-05,2024-11-07,"Age 20-45, Technology, Australia",160x600,356143.63,356143.63
112,Advertiser_12,Campaign_112,2024-10-19,2024-12-01,"Age 20-44, Technology, USA",300x250,391625.72,391625.72
113,Advertiser_12,Campaign_113,2024-10-05,2024-10-19,"Age 30-32, Technology, USA",160x600,437376.68,437376.68
114,Advertiser_12,Campaign_114,2024-10-17,2024-12-15,"Age 29-49, Fashion, Germany",728x90,300038.25,300038.25
115,Advertiser_12,Campaign_115,2024-10-01,2024-10-22,"Age 30-49, Gaming, India",300x250,218999.03,218999.03
116,Advertiser_12,Campaign_116,2024-10-20,2024-11-10,"Age 25-43, Sports, UK",728x90,391208.36,391208.36
117,Advertiser_12,Campaign_117,2024-10-16,2024-12-10,"Age 18-33, Gaming, India",160x600,473557.51,473557.51
118,Advertiser_12,Campaign_118,2024-10-05,2024-10-18,"Age 28-34, Health, Australia",300x250,341137.79,341137.79
119,Advertiser_12,Campaign_119,2024-10-17,2024-11-19,"Age 25-39, Education, India",728x90,302379.47,302379.47
120,Advertiser_12,Campaign_120,2024-10-02,2024-10-28,"Age 20-37, Fashion, UK",728x90,10131.94,10131.94
121,Advertiser_12,Campaign_121,2024-10-01,2024-10-17,"Age 18-50, Gaming, Germany",160x600,446497.14,446497.14
122,Advertiser_13,Campaign_122,2024-10-04,2024-11-01,"Age 25-36, Finance, Germany",728x90,437886.87,437886.87
123,Advertiser_13,Campaign_123,2024-10-07,2024-11-29,"Age 23-45, Gaming, USA",300x250,119158.91,119158.91
124,Advertiser_13,Campaign_124,2024-10-01,2024-10-23,"Age 26-39, Travel, UK",300x250,321558.92,321558.92
125,Advertiser_13,Campaign_125,2024-10-24,2024-11-12,"Age 22-40, Gaming, USA",300x250,142485.08,142485.08
126,Advertiser_13,Campaign_126,2024-10-29,2024-12-11,"Age 30-35, Travel, Australia",300x250,283190.29,283190.29
127,Advertiser_13,Campaign_127,2024-10-14,2024-12-11,"Age 26-49, Travel, USA",160x600,210366.49,210366.49
128,Advertiser_13,Campaign_128,2024-10-07,2024-11-21,"Age 18-47, Health, Australia",300x250,65366.81,65366.81
129,Advertiser_14,Campaign_129,2024-10-15,2024-11-14,"Age 27-46, Gaming, India",300x250,38770.68,38770.68
130,Advertiser_14,Campaign_130,2024-10-18,2024-11-21,"Age 23-43, Fashion, India",160x600,145021.87,145021.87
131,Advertiser_14,Campaign_131,2024-10-20,2024-11-09,"Age 23-42, Travel, Germany",300x250,301838.17,301838.17
132,Advertiser_14,Campaign_132,2024-10-24,2024-12-20,"Age 30-44, Gaming, Germany",300x250,387292.27,387292.27
133,Advertiser_14,Campaign_133,2024-10-16,2024-12-02,"Age 28-35, Education, USA",160x600,287803.22,287803.22
134,Advertiser_14,Campaign_134,2024-10-29,2024-11-30,"Age 27-47, Education, India",160x600,108232.29,108232.29
135,Advertiser_14,Campaign_135,2024-10-15,2024-12-04,"Age 19-36, Finance, USA",300x250,449816.04,449816.04
136,Advertiser_14,Campaign_136,2024-10-09,2024-12-08,"Age 19-47, Gaming, UK",160x600,452596.5,452596.5
137,Advertiser_14,Campaign_137,2024-10-13,2024-11-19,"Age 29-41, Finance, India",300x250,35378.71,35378.71
138,Advertiser_14,Campaign_138,2024-10-12,2024-11-26,"Age 21-44, Sports, India",728x90,282291.52,282291.52
139,Advertiser_15,Campaign_139,2024-10-15,2024-11-07,"Age 30-47, Finance, India",728x90,190793.1,190793.1
140,Advertiser_15,Campaign_140,2024-10-18,2024-12-14,"Age 25-48, Technology, USA",160x600,420032.71,420032.71
141,Advertiser_15,Campaign_141,2024-10-20,2024-11-27,"Age 18-47, Finance, Australia",728x90,134028.96,134028.96
142,Advertiser_15,Campaign_142,2024-10-16,2024-11-14,"Age 29-36, Health, Germany",728x90,272294.23,272294.23
143,Advertiser_15,Campaign_143,2024-10-02,2024-11-30,"Age 19-38, Travel, UK",300x250,217237.77,217237.77
144,Advertiser_15,Campaign_144,2024-10-27,2024-11-21,"Age 21-45, Travel, Germany",728x90,91387.25,91387.25
145,Advertiser_15,Campaign_145,2024-10-29,2024-11-21,"Age 25-42, Travel, Germany",728x90,261028.17,261028.17
146,Advertiser_15,Campaign_146,2024-10-10,2024-11-14,"Age 21-48, Sports, UK",300x250,209610.68,209610.68
147,Advertiser_15,Campaign_147,2024-10-19,2024-11-29,"Age 24-44, Sports, Australia",300x250,320684.0,320684.0
148,Advertiser_16,Campaign_148,2024-10-15,2024-11-30,"Age 28-40, Travel, UK",300x250,429493.26,429493.26
149,Advertiser_16,Campaign_149,2024-10-21,2024-11-12,"Age 27-50, Finance, Germany",300x250,320232.01,320232.01
150,Advertiser_16,Campaign_150,2024-10-09,2024-12-04,"Age 29-47, Finance, Australia",300x250,455423.07,455423.07
151,Advertiser_16,Campaign_151,2024-10-04,2024-11-25,"Age 25-32, Finance, Germany",728x90,421188.81,421188.81
152,Advertiser_16,Campaign_152,2024-10-29,2024-12-23,"Age 23-38, Fashion, USA",160x600,255296.82,255296.82
153,Advertiser_16,Campaign_153,2024-10-30,2024-11-11,"Age 21-34, Travel, India",160x600,30244.3,30244.3
154,Advertiser_16,Campaign_154,2024-10-11,2024-11-11,"Age 22-36, Gaming, Australia",300x250,41221.6,41221.6
155,Advertiser_16,Campaign_155,2024-10-02,2024-11-30,"Age 23-38, Education, Australia",160x600,181469.34,181469.34
156,Advertiser_16,Campaign_156,2024-10-08,2024-11-12,"Age 25-48, Travel, USA",300x250,252574.49,252574.49
157,Advertiser_16,Campaign_157,2024-10-28,2024-12-19,"Age 23-33, Sports, UK",728x90,169805.28,169805.28
158,Advertiser_16,Campaign_158,2024-10-05,2024-11-25,"Age 22-34, Gaming, Australia",728x90,63229.86,63229.86
159,Advertiser_17,Campaign_159,2024-10-26,2024-12-18,"Age 25-49, Health, USA",300x250,10453.4,10453.4
160,Advertiser_17,Campaign_160,2024-10-27,2024-12-05,"Age 25-44, Health, UK",160x600,490646.76,490646.76
161,Advertiser_17,Campaign_161,2024-10-26,2024-12-17,"Age 20-42, Finance, USA",160x600,222701.13,222701.13
162,Advertiser_17,Campaign_162,2024-10-03,2024-10-20,"Age 20-39, Education, Australia",728x90,340318.18,340318.18
163,Advertiser_17,Campaign_163,2024-10-02,2024-11-30,"Age 22-43, Fashion, Germany",160x600,151592.57,151592.57
164,Advertiser_17,Campaign_164,2024-10-22,2024-11-12,"Age 28-31, Finance, Australia",160x600,261176.96,261176.96
165,Advertiser_17,Campaign_165,2024-10-01,2024-11-16,"Age 28-48, Sports, USA",728x90,326906.5,326906.5
166,Advertiser_17,Campaign_166,2024-10-20,2024-12-17,"Age 18-49, Travel, USA",300x250,142735.9,142735.9
167,Advertiser_17,Campaign_167,2024-10-11,2024-11-17,"Age 27-49, Travel, USA",160x600,431469.36,431469.36
168,Advertiser_17,Campaign_168,2024-10-31,2024-11-10,"Age 18-45, Education, Germany",300x250,287428.71,287428.71
169,Advertiser_17,Campaign_169,2024-10-29,2024-11-08,"Age 27-36, Gaming, India",300x250,413204.43,413204.43
170,Advertiser_18,Campaign_170,2024-10-08,2024-12-01,"Age 23-40, Gaming, USA",300x250,75840.42,75840.42
171,Advertiser_18,Campaign_171,2024-10-08,2024-10-26,"Age 29-41, Technology, Germany",160x600,300755.54,300755.54
172,Advertiser_18,Campaign_172,2024-10-24,2024-12-15,"Age 27-40, Health, USA",300x250,448330.01,448330.01
173,Advertiser_18,Campaign_173,2024-10-28,2024-11-09,"Age 27-44, Sports, UK",728x90,36223.76,36223.76
174,Advertiser_18,Campaign_174,2024-10-25,2024-12-11,"Age 28-49, Education, India",160x600,213092.23,213092.23
175,Advertiser_18,Campaign_175,2024-10-15,2024-11-14,"Age 26-50, Health, USA",728x90,42919.06,42919.06
176,Advertiser_18,Campaign_176,2024-10-28,2024-12-06,"Age 28-39, Education, India",728x90,410524.7,410524.7
177,Advertiser_19,Campaign_177,2024-10-13,2024-11-01,"Age 25-36, Fashion, UK",160x600,341561.4,341561.4
178,Advertiser_19,Campaign_178,2024-10-04,2024-11-07,"Age 24-32, Fashion, Australia",728x90,171497.45,171497.45
179,Advertiser_19,Campaign_179,2024-10-13,2024-11-11,"Age 22-31, Gaming, Germany",160x600,412473.42,412473.42
180,Advertiser_19,Campaign_180,2024-10-14,2024-11-03,"Age 20-49, Technology, Germany",160x600,115783.29,115783.29
181,Advertiser_19,Campaign_181,2024-10-03,2024-10-27,"Age 27-33, Education, UK",728x90,325996.02,325996.02
182,Advertiser_19,Campaign_182,2024-10-08,2024-12-05,"Age 20-41, Sports, Germany",728x90,56121.66,56121.66
183,Advertiser_19,Campaign_183,2024-10-20,2024-12-13,"Age 29-33, Technology, India",728x90,431940.05,431940.05
184,Advertiser_19,Campaign_184,2024-10-07,2024-11-25,"Age 21-46, Sports, USA",300x250,307340.59,307340.59
185,Advertiser_19,Campaign_185,2024-10-07,2024-11-18,"Age 20-39, Travel, USA",728x90,223675.83,223675.83
186,Advertiser_19,Campaign_186,2024-10-13,2024-11-03,"Age 23-45, Travel, USA",728x90,277800.71,277800.71
187,Advertiser_19,Campaign_187,2024-10-14,2024-11-18,"Age 19-44, Technology, USA",160x600,113558.02,113558.02
188,Advertiser_19,Campaign_188,2024-10-19,2024-11-28,"Age 26-34, Technology, India",300x250,367165.83,367165.83
189,Advertiser_19,Campaign_189,2024-10-09,2024-10-24,"Age 18-35, Finance, UK",728x90,330218.41,330218.41
190,Advertiser_19,Campaign_190,2024-10-14,2024-11-03,"Age 25-35, Education, Germany",160x600,280486.41,280486.41
191,Advertiser_19,Campaign_191,2024-10-01,2024-10-23,"Age 28-37, Education, Australia",160x600,18175.49,18175.49
192,Advertiser_20,Campaign_192,2024-10-10,2024-11-02,"Age 22-37, Fashion, Germany",728x90,143221.41,143221.41
193,Advertiser_20,Campaign_193,2024-10-23,2024-11-11,"Age 25-37, Finance, USA",300x250,408389.05,408389.05
194,Advertiser_20,Campaign_194,2024-10-07,2024-11-10,"Age 27-45, Gaming, India",300x250,135914.58,135914.58
195,Advertiser_20,Campaign_195,2024-10-16,2024-11-18,"Age 24-34, Finance, USA",728x90,331405.07,331405.07
196,Advertiser_20,Campaign_196,2024-10-21,2024-12-18,"Age 28-44, Finance, Germany",728x90,375367.56,375367.56
197,Advertiser_21,Campaign_197,2024-10-03,2024-11-26,"Age 28-31, Sports, Australia",300x250,189262.55,189262.55
198,Advertiser_21,Campaign_198,2024-10-09,2024-10-22,"Age 30-32, Finance, Germany",160x600,124387.64,124387.64
199,Advertiser_21,Campaign_199,2024-10-25,2024-12-18,"Age 21-47, Fashion, Germany",728x90,406404.67,406404.67
200,Advertiser_21,Campaign_200,2024-10-26,2024-11-09,"Age 30-48, Education, Germany",728x90,272262.67,272262.67
201,Advertiser_21,Campaign_201,2024-10-23,2024-12-10,"Age 19-46, Gaming, UK",160x600,107115.24,107115.24
202,Advertiser_21,Campaign_202,2024-10-22,2024-12-09,"Age 25-42, Health, Australia",728x90,224786.94,224786.94
203,Advertiser_21,Campaign_203,2024-10-08,2024-11-19,"Age 25-44, Travel, USA",728x90,394150.13,394150.13
204,Advertiser_21,Campaign_204,2024-10-13,2024-11-16,"Age 21-47, Health, India",728x90,165611.05,165611.05
205,Advertiser_21,Campaign_205,2024-10-16,2024-11-15,"Age 19-43, Sports, USA",300x250,285406.4,285406.4
206,Advertiser_21,Campaign_206,2024-10-15,2024-11-27,"Age 28-32, Sports, UK",728x90,169330.01,169330.01
207,Advertiser_21,Campaign_207,2024-10-19,2024-12-14,"Age 24-50, Sports, UK",160x600,220393.26,220393.26
208,Advertiser_21,Campaign_208,2024-10-15,2024-11-10,"Age 27-41, Sports, USA",300x250,489748.33,489748.33
209,Advertiser_21,Campaign_209,2024-10-08,2024-11-20,"Age 21-50, Sports, Australia",160x600,105799.8,105799.8
210,Advertiser_21,Campaign_210,2024-10-30,2024-12-13,"Age 18-36, Education, Australia",300x250,69132.68,69132.68
211,Advertiser_22,Campaign_211,2024-10-02,2024-11-19,"Age 23-34, Travel, USA",160x600,413813.25,413813.25
212,Advertiser_22,Campaign_212,2024-10-20,2024-11-04,"Age 25-43, Gaming, Germany",300x250,340556.01,340556.01
213,Advertiser_22,Campaign_213,2024-10-06,2024-10-19,"Age 29-43, Finance, India",300x250,45673.75,45673.75
214,Advertiser_22,Campaign_214,2024-10-10,2024-10-23,"Age 29-43, Technology, Australia",160x600,39915.05,39915.05
215,Advertiser_22,Campaign_215,2024-10-09,2024-10-23,"Age 20-31, Sports, UK",300x250,189137.83,189137.83
216,Advertiser_22,Campaign_216,2024-10-25,2024-12-21,"Age 27-36, Technology, USA",300x250,371417.53,371417.53
217,Advertiser_22,Campaign_217,2024-10-28,2024-11-27,"Age 20-32, Fashion, Australia",300x250,395122.82,395122.82
218,Advertiser_23,Campaign_218,2024-10-10,2024-10-24,"Age 21-46, Technology, UK",728x90,239730.61,239730.61
219,Advertiser_23,Campaign_219,2024-10-11,2024-11-05,"Age 21-40, Finance, USA",728x90,157640.08,157640.08
220,Advertiser_23,Campaign_220,2024-10-31,2024-11-29,"Age 19-41, Finance, Germany",160x600,459629.65,459629.65
221,Advertiser_23,Campaign_221,2024-10-16,2024-11-06,"Age 30-48, Gaming, Germany",160x600,93012.0,93012.0
222,Advertiser_23,Campaign_222,2024-10-04,2024-10-25,"Age 30-45, Health, Germany",160x600,376774.46,376774.46
223,Advertiser_23,Campaign_223,2024-10-08,2024-11-09,"Age 24-48, Health, India",160x600,276774.42,276774.42
224,Advertiser_23,Campaign_224,2024-10-17,2024-11-15,"Age 18-40, Technology, USA",728x90,134066.84,134066.84
225,Advertiser_23,Campaign_225,2024-10-03,2024-11-15,"Age 27-33, Health, Australia",728x90,100299.57,100299.57
226,Advertiser_24,Campaign_226,2024-10-28,2024-12-16,"Age 24-50, Gaming, Australia",160x600,42891.56,42891.56
227,Advertiser_24,Campaign_227,2024-10-15,2024-11-25,"Age 25-38, Finance, India",300x250,17043.26,17043.26
228,Advertiser_24,Campaign_228,2024-10-21,2024-11-13,"Age 26-31, Education, Australia",300x250,180952.22,180952.22
229,Advertiser_24,Campaign_229,2024-10-16,2024-11-30,"Age 20-33, Fashion, Germany",728x90,24228.56,24228.56
230,Advertiser_24,Campaign_230,2024-10-04,2024-11-16,"Age 25-47, Sports, Australia",300x250,193068.64,193068.64
